# wavelength (nm), cross section(cm^2)  from phidrates
1.257, 3.40E-19
2.264, 1.90E-18
2.361, 4.90E-19
2.462, 5.40E-19
2.913, 8.20E-19
3.038, 1.50E-19
6.209, 9.00E-19
12.17, 4.10E-18
24.86, 1.50E-17
62.58, 3.90E-17
91.5, 4.50E-17
94.0, 3.00E-17
200.0, 1.25E-18
205.0, 1.85E-18
210.0, 2.95E-18
215.0, 4.25E-18
220.0, 1.77E-18
225.0, 1.40E-18
230.0, 1.04E-18
235.0, 6.80E-19
240.0, 4.20E-19
245.0, 2.80E-19
250.0, 1.80E-19
255.0, 1.10E-19
260.0, 8.00E-20
265.0, 4.00E-20
270.0, 2.00E-20
275.0, 4.00E-21
311.0, 4.00E-21
312.0, 2.00E-21
313.0, 4.20E-21
314.0, 4.60E-21
315.0, 4.20E-21
316.0, 3.00E-21
317.0, 4.60E-21
318.0, 3.60E-20
319.0, 6.10E-20
320.0, 2.10E-20
321.0, 4.27E-20
322.0, 4.01E-20
323.0, 3.93E-20
324.0, 4.01E-20
325.0, 4.04E-20
326.0, 3.13E-20
327.0, 4.12E-20
328.0, 7.55E-20
329.0, 6.64E-20
330.0, 7.29E-20
331.0, 8.70E-20
332.0, 1.38E-19
333.0, 5.91E-20
334.0, 5.91E-20
335.0, 6.45E-20
336.0, 5.91E-20
337.0, 4.58E-20
338.0, 1.91E-19
339.0, 1.63E-19
340.0, 1.05E-19
341.0, 8.70E-20
342.0, 3.35E-19
343.0, 2.01E-19
344.0, 1.02E-19
345.0, 8.54E-20
346.0, 8.32E-20
347.0, 8.20E-20
348.0, 7.49E-20
349.0, 7.13E-20
350.0, 6.83E-20
351.0, 1.74E-19
352.0, 1.14E-19
353.0, 3.71E-19
354.0, 4.96E-19
355.0, 2.46E-19
356.0, 1.19E-19
357.0, 9.35E-20
358.0, 7.78E-20
359.0, 7.29E-20
360.0, 6.83E-20
361.0, 6.90E-20
362.0, 7.32E-20
363.0, 9.00E-20
364.0, 1.21E-19
365.0, 1.33E-19
366.0, 2.13E-19
367.0, 3.52E-19
368.0, 4.50E-19
369.0, 2.93E-19
370.0, 1.19E-19
371.0, 9.46E-20
372.0, 8.85E-20
373.0, 7.44E-20
374.0, 4.77E-20
375.0, 2.70E-20
376.0, 1.90E-20
377.0, 1.50E-20
378.0, 1.90E-20
379.0, 5.80E-20
380.0, 7.78E-20
381.0, 1.14E-19
382.0, 1.40E-19
383.0, 1.72E-19
384.0, 1.99E-19
385.0, 1.90E-19
386.0, 1.19E-19
387.0, 5.65E-20
388.0, 3.20E-20
389.0, 1.90E-20
390.0, 1.20E-20
391.0, 5.00E-21
394.0, 4.00E-21
400.0, 4.00E-21